User;Expectations Met/Exceeded;Struggled with complex input;Good at follow-up questions;Accurate answers;Robotic;Can't ask follow-up questions/ dialog too short;fast answer;clear answers/precise/detailed;general answers;Expectations not met;Dialog too long/too many questions;Needed keywords;Didn't understand/couldn't answer;Negative Expectations Met;
b605a256d4c8ee8b320cb265898fa2;;;;accurate answers;;;;clear answers/precise/detailed;;;;;;;
9424463765f172f5bfb4465ca43bff;Expectations Met/Exceeded;;;accurate answers;;Can't ask follow-up questions/ dialog too short;;;;;;;;;
cb8d48c57182851b8d62eb2400885f;;;;;;Can't ask follow-up questions/ dialog too short;;;;Expectations not met;;;Didn't understand/couldn't answer;;Unclear Answers
69e746ae2e242f850a4a29a9e50ad5;;;;;;;;;;Expectations not met;;;;;Unclear Answers
7ad16eb7438e5306d32d36c3293364;;;;;;;;;;Expectations not met;;;;;
cf84bf013aa9ea515c3fde0121f130;Expectations Met/Exceeded;;;accurate answers;;;fast answers;clear answers/precise/detailed;;;;;;;
3dcb8bebb7e2be81eac1d967c8f678;Expectations Met/Exceeded;;;;;;;;;;;;;;
51ab895e88d0ad10e989eb82d0bdb6;;;;;;;;clear answers/precise/detailed;;;;;Didn't understand/couldn't answer;;
40ac355a1fb1d8ec9a7741b6584af6;Expectations Met/Exceeded;;;;;;;clear answers/precise/detailed;;;;;;;
dc967200b041c05be435b0b98fe2dc;Expectations Met/Exceeded;;;accurate answers;;;;;general answers;;;;;;
73055a2253f5f15454466c6c2768d3;Expectations Met/Exceeded;;;;;;;;;;;;;;
95e0c876a0a9705054cc37f0aabdc7;Expectations Met/Exceeded;;;;;;fast answers;;;;;;;;
f6d66992e1ca6efeddc7451052240e;;;;;;;;;;;;;Didn't understand/couldn't answer;;
1c12c92ae12dfb635103a0d179258e;;;;;;;;;;;;;;Negative Expectations Met;
b0d327a4da2ba06695ab1d2874fcc0;;;;;;;;;;;;;;;
7c059fbe85a2415bec8d372f5b9a96;;;;;Robotic;;;;;;;;;Negative Expectations Met;
96554bef85eff367e50863e7f47a2d;;;;;Robotic;;;;;;;;Didn't understand/couldn't answer;;
9c684c2c6abb202ee607c3e38df6d6;Expectations Met/Exceeded;;;;;;;;;;;;;;
065a377639d60e104cfdd66f68e1db;;;;accurate answers;Robotic;;;;;;;;;;
a655c0da4993eff5332735d36d1338;Expectations Met/Exceeded;;;;;;;;;;;;;;
