d8ea183c5c1aa1eb1d9f8b7677c4b2;Quick answer;;
439f4ba6c2ffb420d0c05c0e246d3f;;;
80dce4aa2bb6e4747dea90c91ca9fe;;;
fc4cff10337919ad57c935de757796;;;
c951b710a16924c54f90bccc29460b;;;
767d6d0026f6568ed1fbe324f434ee;;;
3531297f0bd32d54dcc23e8e8a50ad;Quick answer;;
d3f5d2249e51c387c882cb587ba9ca;;;Unreliable
ca54185f7f55c7c28a299578c6d6c1;;;
7addf36ad46517524764cd73b84d5b;;;
47c97ed8e9ba2195e48f663a9f35a7;;;
5bbe9193fb7d45e2e10d3aade3aa89;;;
597bc392e979365272ccf5960b6679;;;
fe874db03aadd15d056f5ebd116a85;;;
266f4afc0f4957543ecd710668a801;;;
e100425dee079289c5660a0b2db5d1;Quick answer;;
ed751396034b4e87fb50846540d2b2;;;
85452be9505ef3ee3499d59b5300f3;Quick answer;;
0f97158978beebaeb59f4dda0db17c;Quick answer;;
09b1a7da8812a2efd58c0a1b92cc0b;;;
92c512341aec50139fc63dab2be508;;;
e5e122c5a2ead5afc06e4df4c8cf78;;;
ed81efaafec6d941adbdf96636bd6d;;;
63fe6663ab1740ce3d095bd3ec270f;;;
5a465be12adc3998b4fe940817cddc;;;Unreliable
7f946e73fd33c3a2f15beac9248fc6;;;
3d9670b634a7a64e7a91bbd34c1823;;;
1122e007efd6d6c220883470890125;;;
eb7cdc7219ceeb7b2862154329eca8;Quick answer;;
6a142c3f0766e201573fad3a498a84;;;
443650e58eea05ea703d12d8b7cf06;;;
e004be8181957be418d758d41b56e2;Quick answer;Quality depends on my question;
a3b3dff3fa294af607a57ff19c591d;;;
bf4b5adecf96a4d3eccdcf42e32d91;;;
ba401ddeae9aef6345d8c3dbddb3bf;;;
4d1e5f75ce5b1667a380c39564e7c9;;;
bf83f3984f247796d4437afe55ffa1;Quick answer;;
a8ce5b01446119bd11123e13fb1607;;;Unreliable
e5cb9660f35b9a87793344d8882510;;;
cb723f719b2f5633ede9aa7ae5926c;;;Unreliable
5de43e36ff95340991cc2c338f85da;;;
1d6610aff8f95079a27b87ed0804c5;;;Unreliable
232cd8e82603855aebc8caa4d53fc1;;;
000650684db95bdac754d1c314c481;;;
