USER: 2cb999ea8f6e2d08ed51fbec5b48f2 || AGREED: True
USER: 2cb999ea8f6e2d08ed51fbec5b48f2 || GROUP: cts_llm
USER: 2cb999ea8f6e2d08ed51fbec5b48f2 || GOAL_INDICES: 1,4,0
USER: 4fbef22136fc434f86bcea23375367 || AGREED: True
USER: 4fbef22136fc434f86bcea23375367 || GROUP: cts_llm
USER: 4fbef22136fc434f86bcea23375367 || GOAL_INDICES: 3,4,0
USER: 4fbef22136fc434f86bcea23375367 || AGREED: True
USER: 4fbef22136fc434f86bcea23375367 || GROUP: cts_llm
USER: e04e17c62ac9cd37416aa4cb781f43 || AGREED: True
USER: e04e17c62ac9cd37416aa4cb781f43 || GROUP: cts_llm
USER: e04e17c62ac9cd37416aa4cb781f43 || GOAL_INDICES: 0,3,4
