USER: 9877fb75af4508e849ed7adb7480db || AGREED: True
USER: 9877fb75af4508e849ed7adb7480db || GROUP: cts
USER: 9877fb75af4508e849ed7adb7480db || GOAL_INDICES: 2,3,1
USER: a72ccd3c97dbff35c64be57705f1b4 || AGREED: True
USER: a72ccd3c97dbff35c64be57705f1b4 || GROUP: cts
USER: a72ccd3c97dbff35c64be57705f1b4 || GOAL_INDICES: 0,2,3
USER: 49b237864c53b76a32587ee0b1ad31 || AGREED: True
USER: 49b237864c53b76a32587ee0b1ad31 || GROUP: cts
USER: 49b237864c53b76a32587ee0b1ad31 || GOAL_INDICES: 3,0,1
USER: c19c0758d1c5fe7d22829e40f68877 || AGREED: True
USER: c19c0758d1c5fe7d22829e40f68877 || GROUP: cts
USER: c19c0758d1c5fe7d22829e40f68877 || GOAL_INDICES: 0,4,0
USER: a766582beb460c7dd1d66eb9aa7e8d || AGREED: True
USER: a766582beb460c7dd1d66eb9aa7e8d || GROUP: cts
USER: a766582beb460c7dd1d66eb9aa7e8d || GOAL_INDICES: 3,1,4
USER: dbf794d824e92b0d7a3dc7cb1854c5 || AGREED: True
USER: dbf794d824e92b0d7a3dc7cb1854c5 || GROUP: cts
USER: dbf794d824e92b0d7a3dc7cb1854c5 || GOAL_INDICES: 2,3,1
USER: 7d41eb892d7fd26e5cb3a09cbcbcb2 || AGREED: True
USER: 7d41eb892d7fd26e5cb3a09cbcbcb2 || GROUP: cts
USER: 7d41eb892d7fd26e5cb3a09cbcbcb2 || GOAL_INDICES: 1,2,2
USER: b32326eb99667cb76c264f0af58386 || AGREED: True
USER: b32326eb99667cb76c264f0af58386 || GROUP: cts
USER: b32326eb99667cb76c264f0af58386 || GOAL_INDICES: 3,0,2
USER: e148902adc969ac240552533291cd7 || AGREED: True
USER: e148902adc969ac240552533291cd7 || GROUP: cts
USER: e148902adc969ac240552533291cd7 || GOAL_INDICES: 0,4,0
USER: 5005bfcef66dac2162e9a22d0f98af || AGREED: True
USER: 5005bfcef66dac2162e9a22d0f98af || GROUP: cts
USER: 5005bfcef66dac2162e9a22d0f98af || GOAL_INDICES: 3,2,4
USER: aad7eadbe7308b566f48002ea77ffa || AGREED: True
USER: aad7eadbe7308b566f48002ea77ffa || GROUP: cts
USER: aad7eadbe7308b566f48002ea77ffa || GOAL_INDICES: 2,3,1
USER: d33eb7ea95fbbc6cd3414bc0e79cd0 || AGREED: True
USER: d33eb7ea95fbbc6cd3414bc0e79cd0 || GROUP: cts
USER: d33eb7ea95fbbc6cd3414bc0e79cd0 || GOAL_INDICES: 2,2,1
USER: cfbbeeffc96b7cef95a4a2333cfbc4 || AGREED: True
USER: cfbbeeffc96b7cef95a4a2333cfbc4 || GROUP: cts
USER: cfbbeeffc96b7cef95a4a2333cfbc4 || GOAL_INDICES: 1,2,3
USER: 1d108e0d22ffc9ef5e0784548020db || AGREED: True
USER: 1d108e0d22ffc9ef5e0784548020db || GROUP: cts
USER: 1d108e0d22ffc9ef5e0784548020db || GOAL_INDICES: 3,0,2
USER: 6ff126dfbe1186c422393f65a0d673 || AGREED: True
USER: 6ff126dfbe1186c422393f65a0d673 || GROUP: cts
USER: 6ff126dfbe1186c422393f65a0d673 || GOAL_INDICES: 0,4,0
USER: b906573d4627e8684a77575004651c || AGREED: True
USER: b906573d4627e8684a77575004651c || GROUP: cts
USER: b906573d4627e8684a77575004651c || GOAL_INDICES: 3,1,4
